lang,method,attribute,supplement,term_type,accuracy
French,gender,True,DT,2gram-no-hash,0.74
French,gender,True,RF,missing,0.83
French,gender,True,NN,2gram-no-hash,0.77
French,gender,False,DT,2gram-no-hash,0.75
French,gender,False,RF,missing,0.83
French,gender,False,NN,2gram-no-hash,0.78
French,plurality,True,DT,2gram-no-hash,0.90
French,plurality,True,RF,missing,0.91
French,plurality,True,NN,2gram-no-hash,0.92
French,plurality,False,DT,2gram-no-hash,0.93
French,plurality,False,RF,missing,0.93
French,plurality,False,NN,2gram-no-hash,0.94
French,gender,True,DT,3gram-no-hash,0.73
French,gender,True,RF,missing,0.74
French,gender,True,NN,3gram-no-hash,0.77
French,gender,False,DT,3gram-no-hash,0.74
French,gender,False,RF,missing,0.79
French,gender,False,NN,3gram-no-hash,0.77
French,plurality,True,DT,3gram-no-hash,0.92
French,plurality,True,RF,missing,0.95
French,plurality,True,NN,3gram-no-hash,0.94
French,plurality,False,DT,3gram-no-hash,0.89
French,plurality,False,RF,missing,0.94
French,plurality,False,NN,3gram-no-hash,0.95
French,gender,True,DT,4gram-no-hash,0.74
French,gender,True,RF,missing,0.81
French,gender,True,NN,4gram-no-hash,0.81
French,gender,False,DT,4gram-no-hash,0.72
French,gender,False,RF,missing,0.82
French,gender,False,NN,4gram-no-hash,0.81
French,plurality,True,DT,4gram-no-hash,0.93
French,plurality,True,RF,missing,0.94
French,plurality,True,NN,4gram-no-hash,0.97
French,plurality,False,DT,4gram-no-hash,0.89
French,plurality,False,RF,missing,0.92
French,plurality,False,NN,4gram-no-hash,0.96
French,gender,True,DT,skippy2gram-no-hash,0.73
French,gender,True,RF,missing,0.80
French,gender,True,NN,skippy2gram-no-hash,0.77
French,gender,False,DT,skippy2gram-no-hash,0.72
French,gender,False,RF,missing,0.78
French,gender,False,NN,skippy2gram-no-hash,0.75
French,plurality,True,DT,skippy2gram-no-hash,0.93
French,plurality,True,RF,missing,0.93
French,plurality,True,NN,skippy2gram-no-hash,0.95
French,plurality,False,DT,skippy2gram-no-hash,0.88
French,plurality,False,RF,missing,0.93
French,plurality,False,NN,skippy2gram-no-hash,0.95
French,gender,True,DT,skippy3gram-no-hash,0.62
French,gender,True,RF,missing,0.75
French,gender,True,NN,skippy3gram-no-hash,0.78
French,gender,False,DT,skippy3gram-no-hash,0.65
French,gender,False,RF,missing,0.73
French,gender,False,NN,skippy3gram-no-hash,0.76
French,plurality,True,DT,skippy3gram-no-hash,0.87
French,plurality,True,RF,missing,0.92
French,plurality,True,NN,skippy3gram-no-hash,0.96
French,plurality,False,DT,skippy3gram-no-hash,0.86
French,plurality,False,RF,missing,0.92
French,plurality,False,NN,skippy3gram-no-hash,0.96
French,gender,True,DT,skippy4gram-no-hash,0.70
French,gender,True,RF,missing,0.80
