lang,method,attribute,supplement,term_type,accuracy
German,gender,True,DT,2gram-no-hash,0.56
German,gender,True,RF,missing,0.61
German,gender,True,NN,2gram-no-hash,0.57
German,gender,False,DT,2gram-no-hash,0.53
German,gender,False,RF,missing,0.59
German,gender,False,NN,2gram-no-hash,0.56
German,plurality,True,DT,2gram-no-hash,0.78
German,plurality,True,RF,missing,0.82
German,plurality,True,NN,2gram-no-hash,0.81
German,plurality,False,DT,2gram-no-hash,0.75
German,plurality,False,RF,missing,0.76
German,plurality,False,NN,2gram-no-hash,0.74
German,gender,True,DT,3gram-no-hash,0.54
German,gender,True,RF,missing,0.61
German,gender,True,NN,3gram-no-hash,0.58
German,gender,False,DT,3gram-no-hash,0.53
German,gender,False,RF,missing,0.55
German,gender,False,NN,3gram-no-hash,0.56
German,plurality,True,DT,3gram-no-hash,0.81
German,plurality,True,RF,missing,0.84
German,plurality,True,NN,3gram-no-hash,0.82
German,plurality,False,DT,3gram-no-hash,0.75
German,plurality,False,RF,missing,0.81
German,plurality,False,NN,3gram-no-hash,0.79
German,gender,True,DT,4gram-no-hash,0.56
German,gender,True,RF,missing,0.66
German,gender,True,NN,4gram-no-hash,0.61
German,gender,False,DT,4gram-no-hash,0.50
German,gender,False,RF,missing,0.60
German,gender,False,NN,4gram-no-hash,0.59
German,plurality,True,DT,4gram-no-hash,0.83
German,plurality,True,RF,missing,0.83
German,plurality,True,NN,4gram-no-hash,0.81
German,plurality,False,DT,4gram-no-hash,0.78
German,plurality,False,RF,missing,0.82
German,plurality,False,NN,4gram-no-hash,0.80
German,gender,True,DT,skippy2gram-no-hash,0.47
German,gender,True,RF,missing,0.60
German,gender,True,NN,skippy2gram-no-hash,0.57
German,gender,False,DT,skippy2gram-no-hash,0.42
German,gender,False,RF,missing,0.58
German,gender,False,NN,skippy2gram-no-hash,0.53
German,plurality,True,DT,skippy2gram-no-hash,0.80
German,plurality,True,RF,missing,0.88
German,plurality,True,NN,skippy2gram-no-hash,0.85
German,plurality,False,DT,skippy2gram-no-hash,0.79
German,plurality,False,RF,missing,0.84
German,plurality,False,NN,skippy2gram-no-hash,0.82
German,gender,True,DT,skippy3gram-no-hash,0.52
German,gender,True,RF,missing,0.57
German,gender,True,NN,skippy3gram-no-hash,0.63
German,gender,False,DT,skippy3gram-no-hash,0.51
German,gender,False,RF,missing,0.57
German,gender,False,NN,skippy3gram-no-hash,0.58
German,plurality,True,DT,skippy3gram-no-hash,0.74
German,plurality,True,RF,missing,0.84
German,plurality,True,NN,skippy3gram-no-hash,0.77
German,plurality,False,DT,skippy3gram-no-hash,0.76
German,plurality,False,RF,missing,0.78
German,plurality,False,NN,skippy3gram-no-hash,0.79
German,gender,True,DT,skippy4gram-no-hash,0.48
German,gender,True,RF,missing,0.59
German,gender,True,NN,skippy4gram-no-hash,0.62
German,gender,False,DT,skippy4gram-no-hash,0.53
German,gender,False,RF,missing,0.57
German,gender,False,NN,skippy4gram-no-hash,0.59
German,plurality,True,DT,skippy4gram-no-hash,0.80
German,plurality,True,RF,missing,0.82
German,plurality,True,NN,skippy4gram-no-hash,0.78
German,plurality,False,DT,skippy4gram-no-hash,0.77
German,plurality,False,RF,missing,0.82
German,plurality,False,NN,skippy4gram-no-hash,0.79
German,gender,True,DT,2gram-hash-at-both,0.56
German,gender,True,RF,missing,0.57
German,gender,True,NN,2gram-hash-at-both,0.58
German,gender,False,DT,2gram-hash-at-both,0.52
German,gender,False,RF,missing,0.59
German,gender,False,NN,2gram-hash-at-both,0.52
German,plurality,True,DT,2gram-hash-at-both,0.83
German,plurality,True,RF,missing,0.84
German,plurality,True,NN,2gram-hash-at-both,0.83
German,plurality,False,DT,2gram-hash-at-both,0.75
German,plurality,False,RF,missing,0.79
German,plurality,False,NN,2gram-hash-at-both,0.76
German,gender,True,DT,3gram-hash-at-both,0.54
German,gender,True,RF,missing,0.59
German,gender,True,NN,3gram-hash-at-both,0.59
German,gender,False,DT,3gram-hash-at-both,0.48
German,gender,False,RF,missing,0.54
German,gender,False,NN,3gram-hash-at-both,0.62
German,plurality,True,DT,3gram-hash-at-both,0.78
German,plurality,True,RF,missing,0.82
German,plurality,True,NN,3gram-hash-at-both,0.83
German,plurality,False,DT,3gram-hash-at-both,0.79
German,plurality,False,RF,missing,0.80
German,plurality,False,NN,3gram-hash-at-both,0.79
German,gender,True,DT,4gram-hash-at-both,0.51
German,gender,True,RF,missing,0.58
German,gender,True,NN,4gram-hash-at-both,0.60
German,gender,False,DT,4gram-hash-at-both,0.51
German,gender,False,RF,missing,0.59
German,gender,False,NN,4gram-hash-at-both,0.60
German,plurality,True,DT,4gram-hash-at-both,0.81
German,plurality,True,RF,missing,0.82
German,plurality,True,NN,4gram-hash-at-both,0.84
German,plurality,False,DT,4gram-hash-at-both,0.78
German,plurality,False,RF,missing,0.81
German,plurality,False,NN,4gram-hash-at-both,0.82
German,gender,True,DT,skippy2gram-hash-at-both,0.48
German,gender,True,RF,missing,0.65
German,gender,True,NN,skippy2gram-hash-at-both,0.62
German,gender,False,DT,skippy2gram-hash-at-both,0.49
German,gender,False,RF,missing,0.64
German,gender,False,NN,skippy2gram-hash-at-both,0.57
German,plurality,True,DT,skippy2gram-hash-at-both,0.81
German,plurality,True,RF,missing,0.85
German,plurality,True,NN,skippy2gram-hash-at-both,0.82
German,plurality,False,DT,skippy2gram-hash-at-both,0.78
German,plurality,False,RF,missing,0.81
German,plurality,False,NN,skippy2gram-hash-at-both,0.79
German,gender,True,DT,skippy3gram-hash-at-both,0.47
German,gender,True,RF,missing,0.57
German,gender,True,NN,skippy3gram-hash-at-both,0.63
German,gender,False,DT,skippy3gram-hash-at-both,0.47
German,gender,False,RF,missing,0.55
German,gender,False,NN,skippy3gram-hash-at-both,0.60
German,plurality,True,DT,skippy3gram-hash-at-both,0.77
German,plurality,True,RF,missing,0.80
German,plurality,True,NN,skippy3gram-hash-at-both,0.75
German,plurality,False,DT,skippy3gram-hash-at-both,0.71
German,plurality,False,RF,missing,0.79
German,plurality,False,NN,skippy3gram-hash-at-both,0.75
German,gender,True,DT,skippy4gram-hash-at-both,0.51
German,gender,True,RF,missing,0.59
German,gender,True,NN,skippy4gram-hash-at-both,0.54
German,gender,False,DT,skippy4gram-hash-at-both,0.52
German,gender,False,RF,missing,0.57
German,gender,False,NN,skippy4gram-hash-at-both,0.54
German,plurality,True,DT,skippy4gram-hash-at-both,0.81
German,plurality,True,RF,missing,0.85
German,plurality,True,NN,skippy4gram-hash-at-both,0.79
German,plurality,False,DT,skippy4gram-hash-at-both,0.79
German,plurality,False,RF,missing,0.82
German,plurality,False,NN,skippy4gram-hash-at-both,0.74
